league_code,your_name,lat,lon,matched_display
E0,Wolves,,,
E0,Crystal Palace,,,
E0,Wigan,,,
E0,Reading,,,
E0,Sheffield United,,,
E0,Hull,,,
E0,Stoke,,,
E0,Burnley,,,
E0,Blackpool,,,
E0,QPR,,,
E0,Cardiff,,,
E0,Bournemouth,,,
E0,Brighton,,,
E0,Luton,,,
F1,Marseille,,,
F1,Auxerre,,,
F1,Bordeaux,,,
F1,Guingamp,,,
F1,Lille,,,
F1,Lyon,,,
F1,Nantes,,,
F1,Toulouse,,,
F1,Sedan,,,
F1,Monaco,,,
F1,Bastia,,,
F1,Lens,,,
F1,Metz,,,
F1,Rennes,,,
F1,Nice,,,
F1,Nancy,,,
F1,Grenoble,,,
F1,Boulogne,,,
F1,Brest,,,
F1,Evian Thonon Gaillard,,,
F1,Ajaccio GFCO,,,
F1,Amiens,,,
F1,Nimes,,,
F1,Paris FC,,,
G1,Kallithea,,,
G1,Akratitos,,,
G1,Atromitos,,,
G1,Olympiakos,,,
G1,Egaleo,,,
G1,Ionikos,,,
G1,OFI,,,
G1,Iraklis,,,
G1,Kerkyra,,,
G1,Panserraikos,,,
G1,Thrasyvoulos,,,
G1,Kavala,,,
G1,Giannina,,,
G1,Platanias,,,
G1,Apollon,,,
G1,Kallonis,,,
G1,Kifisia,,,
G1,Kalamata,,,
N1,Sparta,,,
N1,Graafschap,,,
N1,Feyenoord,,,
N1,NAC Breda,,,
N1,Groningen,,,
N1,Roosendaal,,,
N1,Vitesse,,,
N1,AZ Alkmaar,,,
N1,Nijmegen,,,
N1,Twente,,,
N1,Waalwijk,,,
N1,Heerenveen,,,
N1,Roda JC,,,
N1,Zwolle,,,
N1,Heracles,,,
N1,Roda,,,
N1,Roda ,,,
N1,Ajax ,,,
N1,Go Ahead Eagles,,,
N1,Dordrecht,,,
N1,FC Emmen,,,
P1,Beira Mar,,,
P1,Aves,,,
P1,Salgueiros,,,
P1,Sp Lisbon,,,
P1,Leiria,,,
P1,Est Amadora,,,
P1,Guimaraes,,,
P1,Pacos Ferreira,,,
P1,Benfica,,,
P1,Farense,,,
P1,Maritimo,,,
P1,Setubal,,,
P1,Academica,,,
P1,Moreirense,,,
P1,Estoril,,,
P1,Penafiel,,,
P1,Trofense,,,
P1,Feirense ,,,
P1,Tondela,,,
P1,Famalicao,,,
P1,Vizela,,,
P1,Casa Pia,,,
P1,AVS,,,
P1,Academico Viseu,,,
SC0,St Mirren,,,
SC0,Aberdeen,,,
SC0,Dundee,,,
SC0,Kilmarnock,,,
SC0,Partick,,,
SC0,Falkirk,,,
SP1,La Coruna,,,
SP1,Real Madrid,,,
SP1,Numancia,,,
SP1,Malaga,,,
SP1,Valencia,,,
SP1,Espanol,,,
SP1,Oviedo,,,
SP1,Betis,,,
SP1,Murcia,,,
SP1,Getafe,,,
SP1,Cadiz,,,
SP1,Almeria,,,
SP1,Xerez,,,
SP1,Elche,,,
SP1,Cordoba,,,
SP1,Leganes,,,
SP1,Huesca,,,
E0,Charlton,,,
E0,Chelsea,,,
E0,Leicester,,,
E0,Sunderland,,,
E0,Ipswich,,,
E0,Middlesbrough,,,
E0,Everton,,,
E0,Man City,,,
E0,Newcastle,,,
E0,Bolton,,,
E0,Birmingham,,,
E0,Portsmouth,,,
E0,Norwich,,,
E0,Watford,,,
E0,Swansea,,,
E0,Huddersfield,,,
E0,Brentford,,,
E0,Nott'm Forest,,,
F1,Paris SG,,,
F1,St Etienne,,,
F1,Strasbourg,,,
F1,Troyes,,,
F1,Lorient,,,
F1,Montpellier,,,
F1,Sochaux,,,
F1,Ajaccio,,,
F1,Le Havre,,,
F1,Le Mans,,,
F1,Caen,,,
F1,Valenciennes,,,
F1,Arles,,,
F1,Dijon,,,
F1,Reims,,,
F1,Angers,,,
F1,Clermont,,,
G1,Xanthi,,,
G1,Kalamaria,,,
G1,Panathinaikos,,,
G1,Panionios,,,
G1,Levadeiakos,,,
G1,PAOK,,,
G1,AEK,,,
G1,Larisa,,,
G1,Ergotelis,,,
G1,Aris,,,
G1,Asteras Tripolis,,,
G1,Veria,,,
G1,Panthrakikos,,,
G1,Olympiakos Volou,,,
G1,Panetolikos,,,
G1,Doxa Dramas,,,
G1,Niki Volos,,,
G1,Lamia,,,
G1,OFI Crete,,,
G1,Volos NFC,,,
G1,Athens Kallithea,,,
N1,Utrecht,52.0907006,5.1215634,"Utrecht, Nederland"
N1,Ajax,52.2775315,-1.6175924,"Central Ajax Football Club, Hampton Road, Budbrooke, Hampton Magna, Warwick, Warwickshire, England, CV35 8HA, United Kingdom"
N1,For Sittard,,,
N1,Willem II,52.2450361,8.9122783,"Willem II, Portastraße, Barkhausen, Porta Westfalica, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32457, Deutschland"
N1,PSV Eindhoven,51.4393903,5.4778235,"PSV, 3, Marktstraat, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EA, Nederland"
N1,Den Bosch,51.6889387,5.303116,"'s-Hertogenbosch, Noord-Brabant, Nederland"
N1,Excelsior,44.9032963,-93.5663455,"Excelsior, Hennepin County, Minnesota, United States"
N1,Volendam,52.4963759,5.0682736,"Volendam, Edam-Volendam, Noord-Holland, Nederland"
N1,Den Haag,52.0799838,4.3113461,"Den Haag, Zuid-Holland, Nederland"
N1,VVV Venlo,51.3688259,6.1698466,"VVV Venlo, 17, Klaasstraat, Venlo, Limburg, Nederland, 5911 JN, Nederland"
N1,Heracles ,-11.9569279,-77.0820547,"Heracles, Los Olivos, Lima, Lima Metropolitana, Lima, 15113, Perú"
N1,Feyenoord ,51.8941793,4.5246367,"Feyenoord, Van Zandvlietplein, Oud-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3077 AA, Nederland"
N1,Graafschap ,42.7541902,-86.1364296,"Graafschap, Fillmore Township, Allegan County, Michigan, 49423, United States"
N1,Groningen ,53.2190652,6.5680077,"Groningen, Nederland"
N1,Utrecht ,52.0907006,5.1215634,"Utrecht, Nederland"
N1,Vitesse ,25.7875404,104.5516927,"茶亭隧道, 水兴高速, 盘州市, 六盘水市, 贵州省, 中国"
N1,Willem II ,52.2450361,8.9122783,"Willem II, Portastraße, Barkhausen, Porta Westfalica, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32457, Deutschland"
N1,Cambuur,53.2041094,5.8114482,"Cambuurstraat, Indische buurt, Oud Oost, Leeuwarden, Fryslân, Nederland, 8921 HR, Nederland"
